year,Country_Name,Country_Code,Adolescent_fertility_rate_births_per_1_000_women_ages_15_19_,Age_dependency_ratio_of_working_age_population_,Age_population_age_0_female_interpolated,Age_population_age_0_male_interpolated,Age_population_age_01_female_interpolated,Age_population_age_01_male_interpolated,Age_population_age_02_female_interpolated,Age_population_age_02_male_interpolated,Age_population_age_03_female_interpolated,Age_population_age_03_male_interpolated,Age_population_age_04_female_interpolated,Age_population_age_04_male_interpolated,Age_population_age_05_female_interpolated,Age_population_age_05_male_interpolated,Birth_rate_crude_per_1_000_people_,Death_rate_crude_per_1_000_people_,Fertility_rate_total_births_per_woman_,GDP_current_US_,GDP_per_capita_Current_US_,Inflation_consumer_prices_annual_,Life_expectancy_at_birth_female_years_,Life_expectancy_at_birth_male_years_,Population_ages_0_14_female,Population_ages_0_14_of_total_,Population_ages_15_64_female,Population_ages_15_64_male,Population_ages_15_64_of_total_,Population_ages_15_64_total,Population_ages_65_and_above_female,Population_ages_65_and_above_of_total_,Population_female,Population_female_of_total_,Population_total,GDP_growth_annual_
1960,Denmark,DNK,44.1754,55.7884875229111,38797,40519,36505,38452,35003,37117,34189,36418,33961,36259,34218,36545,16.6,9.5,2.57,6248946880.2777,1364.51716017255,1.25523012552926,74,70.44,561643,25.2077830198461,1484063,1455561,64.1895911048458,2939628,261702,10.6026258753081,2307409,50.384481976923,4579603,NA
1961,Denmark,DNK,45.0442,55.5909771351436,39700,41292,38292,40044,36372,38315,35103,37192,34406,36599,34203,36461,16.6,9.4,2.55,6933842098.84548,1503.53701342816,3.45162858557826,74.4,70.57,560269,24.9658270313546,1495246,1468735,64.2710803382815,2963981,268492,10.7630926303639,2324007,50.3938533519635,4611687,6.37883247557396
1962,Denmark,DNK,45.913,55.223348726329,40226,41731,37831,39555,37831,39612,36280,38219,35242,37306,34663,36818,16.7,9.8,2.55,7812968114.40012,1681.0299129876,7.37781954818462,74.43,70.31,557581,24.6500260466741,1509267,1484952,64.4232973841912,2994219,275846,10.9266765691347,2342694,50.4051649470323,4647727,5.66682217271799
1963,Denmark,DNK,45.5242,54.7983021527104,40386,41866,38443,40095,36967,38763,37392,39205,36209,38147,35403,37444,17.6,9.8,2.67,8316692385.77386,1775.37038468789,6.1050328230293,74.48,70.42,554298,24.3098202219714,1523949,1502241,64.6001870567245,3026185,283448,11.089992721304,2361695,50.4152663878237,4684483,0.637021234202422
1964,Denmark,DNK,45.1354,54.4676687612058,40240,41780,38877,40520,37758,39496,36868,38693,36949,38799,36135,38078,17.7,9.9,2.6,9506678762.77765,2013.24307693268,3.09278350515452,74.79,70.29,552010,24.0140790057814,1537736,1519265,64.7384669710513,3056997,291111,11.2474540231674,2380857,50.4197519573429,4722072,9.26993821451796
1965,Denmark,DNK,44.7466,54.2976929007692,39855,41547,39066,40779,38325,40071,37641,39431,37026,38867,36491,38388,18,10.1,2.61,10678897387.0006,2243.93159483536,5.44999999925048,74.65,70.2,551172,23.7908311381673,1549424,1534888,64.8097872894636,3084306,298708,11.3993815723691,2399304,50.4160206332958,4759012,4.55525481407099
1966,Denmark,DNK,44.3578,54.4281158469516,39189,41132,39680,41395,39014,40735,38350,40094,37706,39488,37100,38932,18.4,10.3,2.62,11721248101.0874,2443.2597913502,7.06495969658814,74.79,70.21,552603,23.6587319010768,1558277,1548269,64.755059275674,3106547,307135,11.5862088232492,2418014,50.4027848749948,4797381,2.74091010903237
1967,Denmark,DNK,43.969,54.5830272269995,38256,40547,38594,40681,39519,41261,38975,40708,38387,40134,37782,39563,16.8,9.9,2.35,12788479692.1939,2644.7866468916,8.20785355844021,75.35,70.61,554141,23.5442133619441,1566467,1561535,64.6901579385697,3127998,315546,11.7656286994862,2436154,50.3821182801263,4835354,3.42160509181338
1968,Denmark,DNK,40.693,54.7833664807843,37205,39843,38056,40382,38555,40646,39359,41128,38937,40682,38427,40176,15.3,9.7,2.12,13196541952,2712.61240033933,8.00520710366456,75.58,70.78,555159,23.4527959740801,1571307,1571727,64.6064337777441,3143027,323486,11.9407702481757,2449952,50.3599311888097,4864883,3.97494770207751
1969,Denmark,DNK,37.417,55.0128542035765,36243,39095,37479,39968,38307,40512,38776,40770,39194,40983,38895,40645,14.6,9.8,2,15009384584.5333,3068.23674114413,3.48791924395204,75.7,70.86,556276,23.3728921184718,1575034,1580747,64.5107832949706,3155777,331441,12.1163245865575,2462751,50.3438560166587,4891860,6.32248500839432
